GROUP_SET,GROUP_ID,GROUP_NAME,player_1,player_2,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,PIS,edge_strength
Lineups,-201142-1626164-,K. Durant - D. Booker,K. Durant,D. Booker,1610612756,PHX,56,32,24,0.571,1536.21,1375,2717,0.506,456,1126,0.405,543,653,0.832,261,1087,1348,942,459,207,139,108,590,608,3749,28,351,350,4755,1843,51,54,66,691,46,65,830,61,77,1081,133,49,63,42,5281,130,93,5152,5281,53,50,779,0.3831832887430755,2.8116933536892077
Lineups,-203486-1626145-,M. Plumlee - T. Jones,M. Plumlee,T. Jones,1610612756,PHX,71,33,38,0.465,688.1416666666667,598,1237,0.483,233,575,0.405,232,287,0.808,132,481,613,425,195,106,67,57,235,273,1661,26,59,324,5256,2761,446,458,472,1450,317,400,828,493,517,1568,578,435,464,376,4843,522,482,4707,4782,435,442,823,0.4246218680746455,2.7750936551925682
Lineups,-203486-1642346-,M. Plumlee - R. Dunn,M. Plumlee,R. Dunn,1610612756,PHX,53,24,29,0.453,456.54,389,846,0.46,128,367,0.349,137,175,0.783,112,337,449,273,115,77,57,42,155,164,1043,13,413,603,5033,2849,806,812,797,2562,808,771,2729,945,962,2373,738,724,730,717,4348,807,606,4405,4382,858,828,1196,0.443772725281465,2.718491500701484
Lineups,-203486-1628960-,M. Plumlee - G. Allen,M. Plumlee,G. Allen,1610612756,PHX,57,27,30,0.474,636.5333333333333,562,1105,0.509,214,507,0.422,253,320,0.791,120,417,537,406,181,87,59,60,208,267,1591,21,327,503,5073,2699,517,512,560,653,386,497,614,424,432,2133,675,548,572,409,4782,698,577,4766,4655,452,480,932,0.4179671135316297,2.699067175563395
Lineups,-201142-1626145-,K. Durant - T. Jones,K. Durant,T. Jones,1610612756,PHX,61,33,28,0.541,1263.9466666666667,1111,2241,0.496,391,965,0.405,428,529,0.809,196,899,1095,774,384,180,123,103,449,505,3041,7,238,324,4989,2049,109,116,128,1045,88,120,829,120,130,1545,285,105,130,88,5230,187,143,5124,5199,103,112,1554,0.3733148023123338,2.6665074596564713
Lineups,-201142-1626220-,K. Durant - R. O'Neale,K. Durant,R. O'Neale,1610612756,PHX,55,30,25,0.545,981.355,840,1717,0.489,298,737,0.404,422,510,0.827,156,685,841,571,278,150,97,86,385,445,2400,26,375,406,4814,2012,209,227,246,1236,190,242,840,127,143,1142,442,204,256,199,5088,274,251,5025,5121,136,194,823,0.3811566660382837,2.626151419410314
Lineups,-1626145-1642346-,T. Jones - R. Dunn,T. Jones,R. Dunn,1610612756,PHX,71,31,40,0.437,721.58,602,1307,0.461,214,587,0.365,218,285,0.765,174,497,671,419,187,126,75,69,264,247,1636,8,59,384,5278,2964,416,451,426,2527,386,386,2100,543,524,2886,363,414,400,385,4803,383,413,4883,4877,514,458,1478,0.39753041935752104,2.616874431251632
Lineups,-1626145-1642345-,T. Jones - O. Ighodaro,T. Jones,O. Ighodaro,1610612756,PHX,49,20,29,0.408,529.14,439,946,0.464,162,442,0.367,161,198,0.813,99,342,441,294,148,97,51,42,197,180,1201,31,513,814,5033,3160,669,701,695,2370,595,601,2044,797,836,1446,857,707,747,657,4610,609,725,4405,4615,787,700,743,0.40528026609214957,2.5423803034041135
Lineups,-1628420-1642346-,M. Morris - R. Dunn,M. Morris,R. Dunn,1610612756,PHX,30,14,16,0.467,208.09833333333333,175,378,0.463,54,162,0.333,89,108,0.824,46,144,190,113,53,28,35,20,83,84,493,20,1216,1247,4143,2744,1728,1716,1740,2417,1781,1736,3159,1457,1533,1197,1785,1671,1716,1675,3362,2005,1045,3439,3590,1657,1687,960,0.46180091142809093,2.467312050364597
Lineups,-1630166-1642270-,D. Avdija - D. Clingan,D. Avdija,D. Clingan,1610612757,POR,55,23,32,0.418,739.97,656,1435,0.457,225,604,0.373,250,348,0.718,244,538,782,405,238,118,92,82,275,309,1787,53,375,646,5128,3068,398,380,366,2669,351,359,1808,430,372,3914,174,359,299,413,4997,439,279,4997,4907,344,383,502,0.44508561157884785,2.94110797959815
